date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:31	119/119	---M--	200	added ('OK')	text/plain	etag:%225cf5b104-77%22	https://status.cloud.sugarcrm.com/robots.txt		(from )
11:50:32	19557/19557	---MCZ	200	added ('OK')	text/html	etag:W/%22531c6ba40ad4c3a1e138944532d1691d%22	https://status.cloud.sugarcrm.com/	C:/Users/Burak/Desktop/StatusPage/StatusPage/status.cloud.sugarcrm.com/index.html	(from )
11:50:33	810/810	---M--	200	added ('OK')	image/png	etag:%2200f42b47fe39afb465928706858e2013%22	https://hund-client-logos.s3.amazonaws.com/uploads/favicon-sugarcrm-b9ab8a9f-3840-4eac-a7ad-967e38099847.png	C:/Users/Burak/Desktop/StatusPage/StatusPage/hund-client-logos.s3.amazonaws.com/uploads/favicon-sugarcrm-b9ab8a9f-3840-4eac-a7ad-967e38099847.png	(from https://status.cloud.sugarcrm.com/)
11:50:34	9205/9205	---M--	200	added ('OK')	image/png	etag:%22d8c1980b9fd21b8124a531becf225271%22	https://hund-client-logos.s3.amazonaws.com/uploads/square-sugarcrm-b5a8cb4f-f84b-4eee-b8ac-48d050511dd2.png	C:/Users/Burak/Desktop/StatusPage/StatusPage/hund-client-logos.s3.amazonaws.com/uploads/square-sugarcrm-b5a8cb4f-f84b-4eee-b8ac-48d050511dd2.png	(from https://status.cloud.sugarcrm.com/)
11:50:34	113982/113982	---M-Z	200	added ('OK')	text/css	etag:%225cf5af35-4a5b%22	https://status.cloud.sugarcrm.com/assets/state/application-730f06f52bda277d81aa0e8954b95986e44cf514a3c28e174b817b0c1963428e.css	C:/Users/Burak/Desktop/StatusPage/StatusPage/status.cloud.sugarcrm.com/assets/state/application-730f06f52bda277d81aa0e8954b95986e44cf514a3c28e174b817b0c1963428e.css	(from https://status.cloud.sugarcrm.com/)
11:50:35	12750/12750	---M-Z	200	added ('OK')	application/javascript	etag:%225cf5b284-13cb%22	https://status.cloud.sugarcrm.com/assets/state/fonts-ec63007a2d1a514eaf1979e83872d9521c4532d5c14f8a9f6b96d55c5200c737.js	C:/Users/Burak/Desktop/StatusPage/StatusPage/status.cloud.sugarcrm.com/assets/state/fonts-ec63007a2d1a514eaf1979e83872d9521c4532d5c14f8a9f6b96d55c5200c737.js	(from https://status.cloud.sugarcrm.com/)
11:50:36	22481/22481	---M--	200	added ('OK')	image/jpeg	etag:%2268b9fbadd648b8ca07d228f0c60626e1%22	https://hund-client-logos.s3.amazonaws.com/uploads/sugarcrm-e8f64f39-53f3-45aa-baf7-f2a073535900.png	C:/Users/Burak/Desktop/StatusPage/StatusPage/hund-client-logos.s3.amazonaws.com/uploads/sugarcrm-e8f64f39-53f3-45aa-baf7-f2a073535900.jpg	(from https://status.cloud.sugarcrm.com/)
11:50:36	10564/10564	---MCZ	200	added ('OK')	text/html	etag:W/%220ab159d7ef651fc764bc8cd928e2b8a7%22	https://status.cloud.sugarcrm.com/subscriptions/new	C:/Users/Burak/Desktop/StatusPage/StatusPage/status.cloud.sugarcrm.com/subscriptions/new.html	(from https://status.cloud.sugarcrm.com/)
11:50:36	7781/7781	---MCZ	200	added ('OK')	text/html	etag:W/%226f27a814cb019eff0f8d53347325a7ad%22	https://status.cloud.sugarcrm.com/components/5b26a15e9944fe03f3873028	C:/Users/Burak/Desktop/StatusPage/StatusPage/status.cloud.sugarcrm.com/components/5b26a15e9944fe03f3873028.html	(from https://status.cloud.sugarcrm.com/)
11:50:37	7778/7778	---MCZ	200	added ('OK')	text/html	etag:W/%22d9fe58a2305b70f07bfef0a8b1a61772%22	https://status.cloud.sugarcrm.com/components/5b26a2cf87d84436fd54acba	C:/Users/Burak/Desktop/StatusPage/StatusPage/status.cloud.sugarcrm.com/components/5b26a2cf87d84436fd54acba.html	(from https://status.cloud.sugarcrm.com/)
